matrix_size,matT_wallTime[us],matTpar_wallTime[us],hostname,compilation_notes
16,1,0,hpc-c11-node21.unitn.it,SERIAL_CODE
32,5,0,hpc-c11-node21.unitn.it,SERIAL_CODE
64,29,0,hpc-c11-node21.unitn.it,SERIAL_CODE
128,203,0,hpc-c11-node21.unitn.it,SERIAL_CODE
256,1475,0,hpc-c11-node21.unitn.it,SERIAL_CODE
512,20208,0,hpc-c11-node21.unitn.it,SERIAL_CODE
1024,66151,0,hpc-c11-node21.unitn.it,SERIAL_CODE
2048,1925793,0,hpc-c11-node21.unitn.it,SERIAL_CODE
4096,4026252,0,hpc-c11-node21.unitn.it,SERIAL_CODE
16,0,0,hpc-c11-node12.unitn.it,SERIAL_CODE
32,5,0,hpc-c11-node12.unitn.it,SERIAL_CODE
64,26,0,hpc-c11-node12.unitn.it,SERIAL_CODE
128,166,0,hpc-c11-node12.unitn.it,SERIAL_CODE
256,825,0,hpc-c11-node12.unitn.it,SERIAL_CODE
512,7350,0,hpc-c11-node12.unitn.it,SERIAL_CODE
1024,26550,0,hpc-c11-node12.unitn.it,SERIAL_CODE
2048,118442,0,hpc-c11-node12.unitn.it,SERIAL_CODE
4096,712927,0,hpc-c11-node12.unitn.it,SERIAL_CODE
